实体名称,中文名,中文名称,外文名,英文名称,简称,别名,国家代码,政治体制,国家领袖,首都,国土面积,所属洲,时区,货币,主要民族,主要宗教,主要城市,官方语言,国歌,国庆日,最大城市,国家象征,法律体系,行政区划代码,行政区类别,所属地区,地理位置,下辖地区,政府驻地,著名景点,著名学府,省长,省委书记,州长,参议员,市长,市委书记,县长,主要组织,包含国家
比利时,比利时王国,,The Kingdom of Belgium,,比利时,,BEL,议会制君主立宪制,国王:菲利普·利奥波德·路易·马里;首相:索菲·维尔梅斯[1] ,布鲁塞尔[1] ,,欧洲,UTC+1,欧元,佛拉芒人、瓦隆人、德意志人[1] ,天主教[1] ,安特卫普、根特、布鲁日、列日、鲁汶、那慕尔等,荷兰语、法语、德语[1] ,《布拉班人之歌》,1831年7月21日,布鲁塞尔,,,,,,,,,,,,,,,,,,,
越南,越南社会主义共和国,,越南语:Cộng hòa Xã hội Chủ nghĩa Việt Nam;英语:Socialist Republic of Vietnam,,越南,,VNM,人民代表大会制度,国家主席:阮富仲[2] ,河内,329556 km2,亚洲,UTC+7,越南盾,京族、岱依族、傣族、芒族、华族、侬族[2] ,佛教、天主教、和好教、高台教[2] ,胡志明市、海防、岘港、顺化等,越南语,《进军歌》,1945年9月2日,,,,,,,,,,,,,,,,,,,,
圣文森特,,圣文森特和格林纳丁斯[3] ,,Saint Vincent and the Grenadines,,,VCT,议会制君主立宪制,"总督:弗雷德里克·巴兰坦,总理:拉尔夫·冈萨维斯",金斯敦[3] ,389平方公里[4] ,北美洲,UTC-4,东加勒比元[3] ,黑种人,"基督教新教,天主教",,英语,《圣文森特的土地如此美丽》,1979年10月27日,,,,,,,,,,,,,,,,,,,,
格林纳丁斯,,圣文森特和格林纳丁斯[3] ,,Saint Vincent and the Grenadines,,,VCT,议会制君主立宪制,"总督:弗雷德里克·巴兰坦,总理:拉尔夫·冈萨维斯",金斯敦[3] ,389平方公里[4] ,北美洲,UTC-4,东加勒比元[3] ,黑种人,"基督教新教,天主教",,英语,《圣文森特的土地如此美丽》,1979年10月27日,,,,,,,,,,,,,,,,,,,,
南非,南非共和国[1] ,,The Republic of South Africa[1] ,,南非,,ZAF,总统制共和制,总统:马塔梅拉·西里尔·拉马福萨,"茨瓦内,开普敦,布隆方丹[1] ",1219090 km2[1] ,非洲,UTC+2,兰特[1] ,黑人、有色人、白人、亚裔[1] ,基督新教、天主教[1] ,"约翰内斯堡,德班,伊丽莎白港等[1] ",阿非利卡语、英语[1] ,《上帝保佑非洲》《南非的呐喊》,1961年5月31日,约翰内斯堡,,,,,,,,,,,,,,,,,,,
爱沙尼亚,爱沙尼亚共和国[1] ,,Republic of Estonia,,爱沙尼亚,,EST,议会制共和制,"总统:柯斯迪·卡留莱德,总理:于里·拉塔斯[1] ",塔林[1] ,45339 km2[1] ,欧洲,UTC+2,欧元[1] ,爱沙尼亚人,基督教路德宗[1] ,"塔尔图,纳尔瓦,维尔扬迪等[1] ",爱沙尼亚语[1] ,"《我的土地,我的欢愉》",1918年2月24日(独立日)[1] ,塔林,,,,,,,,,,,,,,,,,,,
突尼斯,突尼斯共和国[1] ,,The Republic of Tunisia[1] ,,突尼斯、突尼西亚,,TUN,共和制,总统:凯斯·赛义德、总理:希沙姆·迈希希[3] ,突尼斯市[1] ,163610 km2,非洲,UTC+1,突尼斯第纳尔[1] ,阿拉伯人、柏柏尔人[1] ,伊斯兰教-逊尼派[1] ,"苏塞,比塞大,凯鲁万,纳布勒,杰尔巴岛等[1] ",阿拉伯语[1] ,《祖国的卫士》,1956年3月20日[1] ,,,,,,,,,,,,,,,,,,,,
多米尼加共和国,多米尼加共和国,,The Dominican Republic,,多米尼加,,DOM,总统制共和制,总统:路易斯·阿比纳德尔,圣多明各,48734 km2,北美洲,UTC-4,多米尼加比索,穆拉托人、印欧混血种人、白人、黑人,天主教,"圣地亚哥,拉罗马纳,拉贝加等",西班牙语,《伊斯帕尼奥拉岛英勇的子民》,1844年2月27日,圣多明各,,,,,,,,,,,,,,,,,,,
白俄罗斯,白俄罗斯共和国[3] ,,The Republic of Belarus,,白俄罗斯,,BLR,总统制共和制,总统:亚历山大·格里戈里耶维奇·卢卡申科,明斯克[3] ,207600 km2,欧洲,UTC+2,白俄罗斯卢布(BYR)[3] ,白俄罗斯人,东正教,布列斯特、维捷布斯克、戈梅利等,白俄罗斯语、俄语[3] ,《我们白俄罗斯人》,1944年7月3日,明斯克,,,,,,,,,,,,,,,,,,,
明斯克,明斯克,,"Minsk,Минск",,,,,,,,,,,,,,,,,,,,,,"首都,州府",白俄罗斯明斯克州,,,,"泪岛,圣灵主教大教堂,别洛韦日国家森林公园",,,,,,拉杜季科,,,,
卢卡申科,亚历山大·格里戈里耶维奇·卢卡申科,,Alexander Grigoryevich Lukashenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华沙,华沙,,Warsaw,,,绿色首都,,,,,,欧洲,,,,,,波兰语,,,,,,,首都、省会,波兰共和国,"52°15' N,21°00' E",,,城堡广场、圣十字教堂、美人鱼雕像、维拉努夫宫等,,,,,,,,,,
捷尔任斯基,费利克斯·埃德蒙多维奇·捷尔任斯基,,Фе́ликс Эдму́ндович Дзержи́нский,,,钢铁般的费利克斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波罗的海,波罗的海,,Baltic Sea,,,,,,,,,,,,,,,,,,,,,,,,北欧,,,,,,,,,,,,,
黑海,黑海,,Black Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乌克兰,乌克兰[1] ,,乌克兰语:УКРАЇНА;英语:Ukraine,,,,UKR,半总统共和制,"总统:弗拉基米尔·泽连斯基,总理:弗拉基米尔·格罗伊斯曼[1] ",基辅[1] ,60.37万平方公里(含克里米亚),欧洲,UTC+2,格里夫纳[1] ,乌克兰人[7] ,东正教[1] ,"哈尔科夫,文尼察,敖德萨,顿涅茨克,利沃夫等[1] ",乌克兰语[1] ,《乌克兰仍在人间》,1991年8月24日[1] ,,,,,,,,,,,,,,,,,,,,
格罗德诺,,格罗德诺,,,,,,,,,,,,,,,,,,,,,,,首府,"白罗斯西端城市,格罗德诺州首府",,,,,,,,,,,,,,
格罗德诺州,,格罗德诺州,,,,,,,,,,,,,,,,,,,,,,,州,,,,格罗德诺,,,,,,,,,,,
波兰,波兰共和国,,The Republic of Poland,,波兰,,POL,半总统共和制,总统:安杰伊·杜达;总理:马泰乌什·莫拉维茨基,华沙,312685 km2,欧洲,UTC+1,兹罗提,波兰人,天主教,克拉科夫、罗兹、弗罗茨瓦夫、波兹南、格但斯克、什切青等,波兰语,《波兰没有灭亡》,5月3日,,,欧陆法系,,,,,,,,,,,,,,,,,
立陶宛,,立陶宛共和国[1] ,,The Republic of Lithuania[1] ,立陶宛,,LTU,议会制共和制,总统:吉塔纳斯·瑙塞达、总理:阿尔吉尔达斯·布特凯维丘斯[2] ,维尔纽斯[1] ,"65,300平方公里",欧洲,UTC+2(夏时制:UTC+3),欧元[1] ,立陶宛人[1] ,天主教[1] ,"考纳斯,克莱佩达,希奥利艾等[1] ",立陶宛语[1] ,《国歌(立陶宛)》,1918年2月16日,维尔纽斯,,,,,,,,,,,,,,,,,,,
莫斯科,莫斯科,,Москва(俄语)、Moscow(英语),,,五海之港、森林中的首都、千顶之城,,,,,,,UTC+3,,,,,,,,,,,,"首都,直辖市,州首府","俄罗斯联邦,莫斯科州","55°45′N,37°36′E",中央行政区等10行政区,中央行政区特维尔区特维尔街13号,"克里姆林宫,红场,圣瓦西里大教堂,阿尔巴特大街等",莫斯科国立大学、总参军事学院,,,,,谢尔盖·索比亚宁,,,,
伦敦,伦敦,,London,,,,,,,,,,,,,,,,,,,,,,首都,英国,英格兰东南部,伦敦金融城、威斯敏斯特市等,伦敦市政厅,白金汉宫、大英博物馆、大本钟等,,,,,,,,,,
塔斯社,塔斯社,,TASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鄂木斯克,,鄂木斯克州,,,,鄂州,,,,,,,,,,,,,,,,,,,州/联邦主体(一级行政单位),西伯利亚联邦管区,西西伯利亚平原的南部,32个行政区,鄂木斯克市,,,,,维克多·伊万诺维奇纳,,,,,,
纽伦堡,纽伦堡,,Nürnberg,,,纽伦伯格、努连堡,,,,,,,,,,,,,,,,,,,巴伐利亚州、中弗兰肯行政区,德国巴伐利亚州的中法兰克盆地,经纬度: 49°27′N 11°5′E,,,皇帝堡、日耳曼国家博物馆、圣塞巴杜斯教堂、圣诞市场,,,,,,,,,,
西伯利亚,西伯利亚,,Сибирь/Siberia,,,,,,,,,,,,,,,,,,,,,,,俄罗斯,北亚,西西伯利亚/中西伯利亚/东西伯利亚,,,,,,,,,,,,
康涅狄格州,康涅狄格州,,英文:State of Connecticut--CT,,,宪法之州(Constitution State)、豆蔻之州(Nutmeg State)[4] ,,,,,,,,,,,,,,,布里奇波特(Bridgeport),,,,联邦州,美国东北部新英格兰地区,美国东北部的新英格兰地区,"哈特福德,布里奇波特,纽黑文",哈特福德(Hartford),"肯特瀑布州立公园;灯塔公园,黑岩国家公园",,,,,,,,,,
拉斐特市,,拉斐特市,,,,,,,,,,,,,,,,,,,,,,,,美国印第安纳州西部,,,,,,,,,,,,,,
菲尼克斯,菲尼克斯,,The City of Phoenix,,,凤凰城,,,,,,,"MST(UTC-7),无夏令时",,,,,,,,,,,,州府,美利坚合众国亚利桑那州,亚利桑那州马里科帕县,9个县市区,,驼背山、沙漠植物园、凤凰山、南山等,,,,,,格雷格.斯坦顿(Greg Stanton),,,,
麦克米伦,哈罗德·麦克米伦,,,,,第一代斯多克东伯爵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
亚利桑那州,,亚利桑那州,,,,大峡谷之州,,,,,,,,,,,,,,,,,,,联邦州,美利坚合众国,美国西南部,"土桑,梅萨,坦普",菲尼克斯(凤凰城),"大峡谷国家公园,胡佛大坝,亚利桑那州立博物馆",,,,,,,,,,
瑞安,瑞安,,Rui'an,,,,,,,,,,,,,,,,,,,,,330381,县级市,浙江省温州市,中国华东、浙江省东南沿海,12个街道、2个乡、9个镇,安阳街道万松东路154号,花岩国家森林公园、卧龙峡等,,,,,,,,,,
博蒙特市,博蒙特市,,"Beaumont, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓬佩奥,迈克·蓬佩奥,,Mike Pompeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒙,蒙城县,,Mengcheng County,,,山桑、漆园、涡阳、淝水,,,,,,,,,,,,,,,,,,341622,县,中国安徽省亳州市,"淮北平原中部,安徽省西北部",3个街道、12个镇、2个乡[3] ,周元西路168号,尉迟寺遗址、万佛塔、庄子祠等,,,,,,,,,,
朝鲜,朝鲜民主主义人民共和国[2] ,,Democratic People's Republic of Korea[2] ,,朝鲜,,PRK,人民代表大会制度,"金正恩(最高领导人,Kim Jong Un)",平壤[2] ,122762 km2[2] ,亚洲,UTC+9[3] ,"朝鲜圆(KPW,₩)",朝鲜族,天道教,开城、清津、新义州等,朝鲜语,《爱国歌》,1948年9月9日[2] ,,,"欧陆法系,社会主义法系",,,,,,,,,,,,,,,,,
威斯康星,威斯康星州,,Wisconsin (简写WI),,,美洲獾之州(The Badger State),,,,,,,,,,,,,,,,,,,,美国,,,麦迪逊,,,,,,,,,,,
维尔京群岛,英属维尔京群岛,,The British Virgin Islands,,维尔京群岛,,VG,,大卫·皮尔雷 ( David Pearey ),罗德城(Road Town),153 km2,北美洲,,美元,黑人、白人,基督教、新教,,英语、西班牙语、克里奥尔语,,,,,,,,,,,,,,,,,,,,,,
夏威夷州,,夏威夷州,,,,阿罗哈州,,,,,,,,,,,,,,,,,,,联邦州,美国,夏威夷群岛(132个岛),夏威夷、檀香山市及县等,火奴鲁鲁,波里尼西亚文化中心,,,,尼尔·艾伯克伦比,,,,,,
巴菲特,沃伦·巴菲特,,Warren E. Buffett,,,股神,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佛蒙特州,,佛蒙特州,,,,,,,,,,,,,,,,,,,,,,,州,美国东北部的新英格兰地区,,"蒙彼利埃,哈特福德,拉特兰",蒙彼利埃,,,,,,,,,,,
加州,,加利福尼亚州,,,,加州、黄金之州、金州,,,,,,,Pacific: UTC-8/-7,,,,,英语,,,,,,,州,美国西南部,美国西南部、太平洋东岸,洛杉矶、旧金山、伯克利、奥克兰、萨克拉门托、圣迭戈等,萨克拉门托,旧金山金门大桥、好莱坞,,,,加文·纽瑟姆[3] ,,,,,,
弗雷斯诺县,弗雷斯诺县,,"Fresno County, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
明尼苏达州,,明尼苏达州,,,,北星之州、千湖之州,,,,,,,,,,,,,,,,,,,州,美国内地7州之一,,,圣保罗,,,,,,,,,,,
宾夕法尼亚州,,宾夕法尼亚州,,,,"宾州(简称),拱心石州、教友派之州、里程碑州、贵格州、煤炭州",,,,,,,,,,,,,,,费城(Philadelphia),,,,州(联邦),美国东部,,费城、匹兹堡等67个县,哈里斯堡(Harrisburg),,,,,,,,,,,
巴格达机场,巴格达机场,,Baghdad Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武汉,武汉,,Wuhan,,,江城、大武汉、九省通衢、东方芝加哥,,,,,,,,,,,,,,,,,,,地级市,中国华中地区·湖北省,"江汉平原东部,长江中游",13个市辖区,江岸区沿江大道188号,东湖、黄鹤楼、木兰山、汉口租界、归元寺、欢乐谷、楚河汉街等,,,,,,,,,,
北京,北京,,Beijing[10] ,,,北平、燕京、蓟、幽州,,,,,,,,,,,,,,,,,,110000,直辖市,中华人民共和国,"中国华北地区,华北平原北部",16个市辖区,通州区运河东大街57号[11] ,天安门广场、故宫、圆明园、颐和园、八达岭长城、明十三陵等,,,,,,,,,,
曼哈顿,曼哈顿,,Manhattan,,,曼岛,,,,,,,,,,,,,,,,,,"NY100xx, NY101xx, NY102xx",下辖区,美国纽约州纽约,美国大西洋海岸东北部,曼哈顿岛、罗斯福岛,纽约市政府,"百老汇,华尔街,帝国大厦,纽约时代广场",,,,,,,,,,
缅因州,,缅因州,,,,松树之州,,,,,,,,,,,,,,,,,,,州,美国东北部的新英格兰区域,美国东北部新英格兰地区最东北角,"欧本,路易斯顿,班哥尔",奥古斯塔,阿卡迪亚国家公园,,,,,,,,,,
圣克鲁斯,罗克·圣克鲁斯,,Roque Santa Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北加州,,北加州,,,,,,,,,,,,,,,,,,,,,,,,,美国西海岸,,,内华达山脉,,,,,,,,,,
圣路易斯,圣路易斯,,City of Saint Louis,,,"西进之门,密西西比皇后城",,,,,,,,,,,,,,,,,,,独立市,美利坚合众国密苏里州,位于密苏里河和密西西比河汇合处,,,"圣路易斯森林公园,圣路易弧形拱门",,,,,,Francis G. Slay (D),,,,
威尔明顿,威尔明顿,,"Wilmington, Delaware",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五角大楼,五角大楼,,The Pentagon,,,美国国防部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本州,,本州岛,,,,,,,,,,,,,,,"东京,大阪,名古屋,横滨,京都等",,,,,,,,,日本,36°N 138°E,"5个地区,行政区共有1都2府以及31个县",,"奈良古城,唐招提寺,富士山等",,,,,,,,,,
休斯敦市,休斯敦,,Houston,,,休斯顿、太空城(Space City),,,,,,,,,,,,,,,,,,,市,德克萨斯州,,,休斯顿市中心,,,,,,,,,,,
阿根廷,阿根廷共和国[1] ,,The Republic of Argentina[1] ,,阿根廷,,ARG,总统制共和制,总统:阿尔韦托·费尔南德斯,布宜诺斯艾利斯[1] ,2780400 km2[1] ,南美洲,UTC-3,阿根廷比索[1] ,西班牙裔、意大利裔、马普切人[1] ,天主教[1] ,"罗萨里奥,拉普拉塔,马德普拉塔,门多萨,科尔多瓦等[1] ",西班牙语[1] ,《祖国进行曲》,1810年5月25日[1] ,,,,,,,,,,,,,,,,,,,,
布宜诺斯艾利斯,布宜诺斯艾利斯,,Buenos Aires(西班牙语),,,"南美洲巴黎,布市",,,,,,,UTC-3,,,天主教,,,,,,,,,行政机构“暂驻地”,阿根廷,"南纬34.6°,西经58.4°",,五月广场,"五月广场,圣马丁墓,科隆大剧院,哥伦布剧院,",,,,,,,,,,
哥伦比亚特区,,华盛顿哥伦比亚特区,,,,华盛顿、华府、华都,,,,,,,,,,,,,,,,,,,首都、特区,美国,美国东北部,,马丁·路德·金大道(东南)2720号,白宫、国会山、林肯纪念堂、华盛顿纪念碑等,,,,,,穆丽尔·鲍泽,,,,
加拉加斯,加拉加斯,,Caracas,,,卡拉卡斯,,,,,,,,,,,,,,,,,,,首都,委内瑞拉,阿维拉山南麓,,,,,,,,,,,,,
古巴,,古巴共和国[3] ,,"The Republic of Cuba, La República de Cuba[3] ",古巴,,CUB,人民代表大会制度,国家主席:米格尔·迪亚斯-卡内尔·贝穆德斯[4] ,哈瓦那[3] ,109884平方公里[3] ,北美洲,UTC-5,古巴比索(CUP)[3] ,白人、黑人、混血种人[3] ,天主教[3] ,"圣地亚哥,卡马圭,圣克拉拉,奥尔金等",西班牙语[3] ,《巴亚莫之歌》,1959年1月1日,,,,,,,,,,,,,,,,,,,,
哈瓦那,哈瓦那,,Havana,,,,,,,,,,,,,,,,,,,,,,首都,古巴,,"哈瓦那旧城区,科托罗",,"圣塔玛丽亚海滩,哈瓦那老城区",,,,,,,,,,
佛罗里达州,,佛罗里达州,,,,Sunshine State,,,,,,,,,,,,,,,,,,,州,美国东南部,美国东南海岸,杰克逊维尔、迈阿密、奥兰多、塔拉哈西,,"珊瑚岛礁,棕榈海滩等",,,,查理·克里斯特,"比尔·纳尔逊,马克罗·鲁比奥",,,,,
肯塔基州,,肯塔基州,,,,,,,,,,,,,,,,,,,,,,,联邦州,美利坚合众国,美国中东部,"路易斯维尔,格芬顿,列克星敦",法兰克福,"猛犸洞国家公园,坎伯兰瀑布",,,,史蒂文·贝希尔,,,,,,
新泽西州,,新泽西州,,,,"花园州,新州,纽泽西",,,,,,,,,,,,,,,纽瓦克(Newark),,,,联邦州,美国,美国东北部,"纽瓦克,泽西市,霍博肯,大西洋城等",特伦顿,"大西洋城,开普梅史迹,特拉华峡谷,梅多兰兹,松树贫瘠地,南山",,,,,,,,,,
伊朗伊斯兰共和国,,伊朗伊斯兰共和国,,The Islamic Republic of Iran,伊朗,,IRN,总统制共和制,"总统,鲁哈尼,最高领袖,哈梅内伊",德黑兰 (tehran),164.5万平方公里,亚洲,UTC-3;30,伊朗里亚尔,"波斯,阿塞拜疆,库尔德,阿拉伯,土库曼",伊斯兰教,"马什哈德,伊斯法罕等",波斯语,伊朗伊斯兰共和国国歌,1979年2月11日,,,,,,,,,,,,,,,,,,,,
奥克兰市,奥克兰,,Auckland,,,风帆之都,,,,,,,,,,,,,,,,,,,市,"新西兰北岛,奥克兰都会区",新西兰北岛,奥克兰市玛努考市怀希基岛,,"奥克兰中央公园,山羊岛海洋保护区,天空塔等",,,,,,,,,,
牙买加,,牙买加[1] ,,Jamaica[1] ,,,JAM,议会制君主立宪制,总督:帕特里克·艾伦、总理:安德鲁·霍尔尼斯[1] ,金斯敦[1] ,"10,991平方公里[1] ",北美洲,UTC-5,牙买加元[1] ,黑人、穆拉托人,基督教[1] ,"西班牙镇,蒙特哥贝,奥乔里奥斯,安东尼奥港等[1] ",英语[1] ,"《牙买加,我们热爱的家园》",1962年8月6日,金斯顿,,,,,,,,,,,,,,,,,,,
密尔沃基,密尔沃基,,Milwaukee,,,Cream City,,,,,,,,,,,,,,,,,,,市,美国威斯康星州,威斯康星州东南部,密尔沃基县,,密尔沃基艺术博物馆,,,,,,Tom Barrett,,,,
布鲁克林大桥,,布鲁克林大桥,,,,,,,,,,,,,,,,,,,,,,,,,美国纽约州纽约市,,,,,,,,,,,,,
东京,东京,,日文:東京;平假名:とうきょう;英语:Tokyo,,,"江户,千代田",,,,,,,,,,,,,,,,,,,都(一级行政区划),日本本州岛关东地区,本州岛关东平原南端,23区、26市、5町、8村,东京都新宿区西新宿2-8-1,东京塔、东京迪士尼、银座、东京巨蛋、东京晴空塔、新宿、秋叶原,,,,,,,,,,
里约热内卢,里约热内卢,,Rio de Janeiro(葡萄牙语),,,里约(Rio),,,,,,,UTC-3,,,,,,,,,,,,市,巴西,巴西联邦共和国的东南部,州首府区,,耶稣山、面包山、尼特罗伊大桥、马拉卡纳球场等,,,,,,,,,,
波恩机场,科隆波恩机场,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纽约时报广场,,纽约时报广场,,,,时代广场,,,,,,,,,,,,,,,,,,,,美国纽约,美国纽约市曼哈顿中城区,,,时代大厦、纳斯达克,,,,,,,,,,
新英格兰,新英格兰,,New England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
密苏里州,,密苏里州,,,,索证之州(The Show Me State),,,,,,,,,,,,,,,堪萨斯城(Kansas City),,,,联邦州,中西部,美国中西部,,杰斐逊城(Jefferson City),,,,,,,,,,,
田纳西州,,田纳西州,,,,义勇军之州、巨湾之州、猪和玉米饼之州,,,,,,,UTC-5/-4,,,,,英语,,,孟菲斯(Memphis),,,,州,美国东部,美国中南部,纳什维尔、孟菲斯、查塔努加、诺克斯维尔,纳什维尔,迪索托桥、大烟山国家公园、嘉灵丝堡,,,,Phil Bredesen,,,,,,
弗吉尼亚州,,弗吉尼亚州,,,,Virginia,,,,,,,,,,,,,,,,,,,州,美国,北纬36°31'至39°37',,里士满,"埃基克罗夫特礼堂,无尽洞阉",,,,鲍勃·麦克唐纳,马克·沃纳、蒂姆·凯恩,,,,,
华盛顿州,,华盛顿州,,,,"华州,常青州",,,,,,,太平洋时区,,,,,,,,西雅图,,,,州,美国,美国西北部太平洋沿岸,,,华盛顿湖、华盛顿大学、奥林匹克国家公园、瑞尼尔山,,,,,,,,,,
东河,东河,,The East River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
俄克拉何马州,,俄克拉何马州,,,,抢先之州 Sooner State,,,,,,,,,,,,,,,,,,,州,美国中南部,,塔尔萨、劳斯顿、诺曼等,俄克拉荷马城,,,,,,,,,,,
堪萨斯城,堪萨斯城,,"Kansas City, Missouri",,,泉城,,,,,,,UTC-6,,,,,,,,,,,,市,美国密苏里州,美国中部,杰克逊县、克莱县、卡斯县和普拉特县,,,,,,,,Kay Waldo Barnes,,,,
印第安纳州,,印第安纳州,,,,保守之州(Hoosier State)、苦干之州(Goosier state),,,,,,,,,,,韦恩堡(Fort Wayne),,,,,,,,美国的一个州,,美国中北部偏东,,印地安那波里斯,,,,,,,,,,,
俄亥俄州,,俄亥俄州,,,,,,,,,,,,,,,,,,,,,,,州,美国,美国中东部,,哥伦布,,,,,约翰·卡西奇,"乔治·沃诺维奇,夏洛德·布朗",,,,,
密歇根州,,密歇根州(密执安州),,,,"狼獾之州,大湖之州",,,,,,,西五区、西六区,,,,"底特律,圣苏玛丽,大急流城",,,,,,,,州,美国五大湖地区,美国中西部,"上半岛,下半岛",兰辛,"麦基诺岛,特拉维斯,画岩湖滨",,,,,,,,,,
台湾,,台湾,,,,宝岛、福尔摩沙,,,,,,,,,汉族、高山族[27] ,佛教、道教、基督新教、天主教等[28] ,台北、高雄、新北、台中、台南等,,,,,,,710000,省,华东地区,中国大陆东南海域,6“院辖市”、3市、13县,台北市,台北101、台北故宫、日月潭、阿里山、玉山、爱河、垦丁、太鲁阁,,,,,,,,,,
大陆,,中国大陆,,,,大陆地区、大陆,,,,,,,东八区(北京时间),,,,北京、上海、深圳、广州、武汉、成都、南京、重庆、天津、长沙等,现代标准汉语,,,,,,,政治区域,中华人民共和国,"亚欧大陆东部,太平洋西岸",22个省、5个自治区、4个直辖市、2个特别行政区,北京市,长城、故宫、西湖、苏州古典园林、兵马俑、桂林山水、橘子洲等,,,,,,,,,,
