实体名称,中文名,外文名,别名,性别,国籍,民族,祖籍,出生地,出生日期,职业,职务,职称,所属政党,政党,语言,净资产,毕业院校,学历,信仰,主要成就,代表作品,父母,妻子,人物评价,人物影响,对华关系,对华政策,政见,立场,军衔
温斯顿·丘吉尔,温斯顿·伦纳德·斯宾塞·丘吉尔,Winston Leonard Spencer Churchill,,,英国,英格兰,,英格兰牛津郡伍德斯托克,1874年11月30日,政治家,,,,,,,桑赫斯特皇家军事学院,,,"4次平均排名之首的英国首相,并于1940和1955年两度担任英国首相1953年荣获诺贝尔文学奖两度荣登时代周刊年度风云人物获嘉德勋章,诺贝尔和平奖提名领导英国人民取得二战胜利展开主要成就4次平均排名之首的英国首相,并于1940和1955年两度担任英国首相1953年荣获诺贝尔文学奖两度荣登时代周刊年度风云人物获嘉德勋章,诺贝尔和平奖提名领导英国人民取得二战胜利36年担任英国布里斯托大学校长收起",,,,"英国首相温斯顿·丘吉尔是在第二次世界大战期间，带领英国人民取得伟大胜利的民族英雄，是与斯大林、罗斯福并立的“三巨头”之一，是矗立于世界史册上的一代伟人。
《星期日泰晤士报》评论说：“今天，温斯顿·丘吉尔不仅是英国精神的化身，而且是我们的坚强领袖。不仅英国人，整个自由世界都对他无比信任。”还值得注意的是，丘吉尔是有名的顽固反共人物。但在第二次世界大战的关键时刻，在处理对苏关系问题上，他以一个杰出政治家的巨大勇气和高度灵活性，从英国人民的根本利益出发，完成了英国政治和他本人政治生涯中的重大历史性转折，毫不犹豫地与苏联结为盟国，使不同意识形态下的反法西斯力量在特定的历史条件下结成了统一战线，从而保证了赢得战争的最后胜利。斯大林称赞丘吉尔是“百年才出现一个的人物”。
丘吉尔还可以称之为预言家、发明家、战略家、外交家。他早在三十年代对未来战争中的一些重大技术发展所作的预见后来都变成了现实；他以超乎寻常的惊人敏感和极大的勇气，冒着和平主义浪潮的巨大压力和“在政治上几乎有被消灭的危险”，一天也不放弃向国人发出预言式的战争警告，使英国人做好了战争来临的精神准备。他在用雷达侦察来袭敌机的方法正式使用前4年就提出对此问题的研究。他因动用海军经费改进和大量建造“陆地行舟”，使轮式装甲汽车演变成为威力巨大的现代坦克而被尊为“坦克之父”。他主持制定了“二战”中的许多战略计划。他亲自有意培育了在当时乃至后来左右世界政治格局的英美关系。总之，丘吉尔是一位人生内涵极为丰富的传奇人物。
连他政治上的对手也说：“丘吉尔是大家一致认为永远不能成为首相的人，可是他同样也是在这危急关头获得大家一致欢迎，认为是唯一可能出任领袖的人。”“人们不能不喜欢他，他的才能与朝气是无与伦比的。”
丘吉尔的声望没有因为他的去世而丝毫的暗淡。时至今日，丘吉尔依然被大多数英国人看作是最伟大的首相。在2002年由BBC主办的“最伟大的100名英国人”票选活动中，丘吉尔高居榜首。
丘吉尔在世人心目中已成为英国人民英勇不屈的斗争精神的集中象征。",,,,,,
弗洛伊德,乔治·弗洛伊德,George Floyd,,,美国[3] ,,,,,保安,,,,,,,,,,,,,,“他不仅是我的员工，也是我最好的朋友。他是那种对每个人都很友好的人。他从不搞区别对待，不管你是西班牙裔、黑人还是白人，他尊重每一个人，这就是我喜欢他的地方”。（弗洛伊德的老板乔瓦尼·通斯特伦评） [5] ,,,,,,
乔治·弗洛伊德,乔治·弗洛伊德,George Floyd,,,美国[5] ,,,,1974年10月14日,保安,,,,,,,,,,,,,,,,,,,,
凯莉安妮·康韦,凯莉安妮·康韦,Kellyanne Conway,,,美国,,,州美国新泽西阿特科,1967年1月20日,,,,,,,,华盛顿圣三一大学、乔治华盛顿大学,,,,,,,,,,,,,
彭斯,迈克·彭斯,Mike Pence[1] ,,,美国[7] ,,,美国印第安纳州哥伦布市[3] ,1959年6月7日[3] ,,美国副总统,,,美国共和党,,,印第安纳大学,,基督教[3] ,美国副总统、美国印第安纳州州长,,,,"民主党总统竞选人希拉里·克林顿的竞选团队发表声明说，彭斯是最早的茶党鼓吹者之一，“是一代人中最极端的人选”。声明称彭斯以实施倾向富人和大企业的经济政策而知名。
美国众议长保罗·瑞恩表示，他对彭斯有很高评价，也是后者的“粉丝”。",,,,,,
迈克·蓬佩奥,迈克·蓬佩奥,Mike Pompeo,,,美国,意大利裔[2] ,,加利福尼亚州奥兰治,1963年12月30日[1] ,,美国第70任国务卿,,,,,,西点军校、哈佛大学法学院,,,曾任美国堪萨斯州共和党国会议员、美国众议院情报委员会成员,,,,,,,,,,
恩格尔,恩斯特·恩格尔,,,,德国,,,德国德累斯顿,1821年3月26日,,,,,,,,,,,,,,,,,,,,,
马丁·路德·金,马丁·路德·金,Martin Luther King,,,美国,,,美国佐治亚州亚特兰大,1929年1月15日,牧师、社会活动家,,,,,,,波士顿大学,,基督新教,领导美国黑人民权运动1964年度诺贝尔和平奖获得者被评为影响美国的100位人物第8名,《我有一个梦想》,,,"美国演员查尔顿·赫斯顿：金是20世纪的摩西。 
历史学家泰勒·布兰奇：金像摩西那样的先知一样，跨越了被种族分隔的大地。最后他变成一根火柱，照耀着后人继续前行。他在精神上遏止了黑暗与黑暗对峙、仇恨与仇恨循环的可能性。
前美国职业篮球运动员兰尼·威尔肯斯：金先生激起了人们为公民权利而作斗争的心。 
2006年时任美国总统乔治·沃克·布什：我们怀念马丁·路德·金，不仅是为了纪念他的品格和领袖风范，还是为了记住尚未走完的行程。
2013年时任美国总统贝拉克·侯赛因·奥巴马：金的演讲激发了美国人的良心，现在人们正是站在金的肩膀上前进。 
苹果公司CEO蒂姆·库克：①在华盛顿，马丁·路德·金挑战美国人，让他们实现民主承诺，让上帝的每个孩子都能感受到公平的真实存在。②我一生敬仰的英雄是马丁·路德·金和约翰·肯尼迪，他们一直在和华莱士所主张的事情（指种族隔离）作斗争。
美国职业篮球运动员勒布朗·詹姆斯：①马丁·路德·金是那种付出自己生命为大家创造更好生活的人，帮助大家生活在一个自由世界，让我们能够发出自己的声音，不管我们的肤色如何，我们都可以自由外出。不管你是谁，不管你的身高和体重如何，也不管你来自哪里，大家都可以在这个世界上共处。②马丁·路德·金有着广阔的视野，他为我们所有人挡住了一颗子弹。理论上，我们可以这么说。虽然现在还有人想把大家分成不同的类别，但是大家今天能一起站在这里，马丁·路德·金有很大的功劳。
南京师范大学外国语学院副教授、硕士生导师张瑞华：①在大多数人的心目中，马丁·路德·金就是那篇著名的“我有一个梦想”。事实上，金代表的不仅仅是那个梦想，更是一场运动、一个年代以及一种精神。②金一生追求非暴力，最终却成了暴力的牺牲品，这不免令人悲哀。值得庆幸的是，他为后人留下他的梦想与信念，人类为此会永远纪念他。",,,,,,
马丁·路德·金三世,马丁·路德·金三世,Martin Luther King III,,,美国,,,,1957年,社会活动家,,,,,,,,,,,,,,,,,,,,
罗伯特·奥布莱恩,罗伯特·奥布莱恩,Robert O'Brien,,,美国,,,,,,,,,,,,加利福尼亚大学伯克利分校,,,,,,,"有评论称，奥布莱恩接替前任博尔顿代表了一种风格上的转变，但不一定是意识形态上的转变。在伊朗等问题上，他也是一个“鹰派”。在伊朗等问题上，他与前任一样咄咄逼人，但与博尔顿相比，他又更像是一个和蔼可亲的同事。 
彭博社称，奥布莱恩的外交政策观点在很大程度上与特朗普的一致。《卫报》则认为，从奥布莱恩在之前的立场来看，他是一个传统的共和党鹰派人物，与蓬佩奥立场相近，但他与特朗普共事起来未必轻松。
《华盛顿邮报》指出，虽然奥布莱恩不像博尔顿那样以固执的单边主义著称，但他过去的著作强调了美国联盟和美国全球领导力的重要性，这一观点可能与特朗普“美国优先”议程的某些方面相冲突。还有一个问题是奥布莱恩能否在协调各个机构的同时，根据总统的意愿制定出连贯的政策。",,,,,,
奥布莱恩,安迪·奥布莱恩,,,,爱尔兰,,,,,,,,,,,,,,,,,,,,,,,,,
希拉里,希拉里·克林顿,Hillary Diane Rodham Clinton,希拉莉、希拉蕊、喜莱莉(港台译),,美国,美利坚人,,伊利诺伊州-芝加哥,1947年10月26日,,美国前国务卿、美国前总统克林顿妻子,,,,,,韦尔斯利学院、耶鲁法学院,法学博士,基督新教卫斯理宗,美国纽约州第一位女性参议员美国第三位女国务卿美国大选首位主要政党提名的女性,《亲历历史:希拉里回忆录》、《艰难抉择》,,,"《生活》：希拉里是她那个时代及其价值观的象征.
《福布斯》：希拉里不仅是美国最重要的女性，也是美国政治史上最重要的女性。
《基督教科学箴言报》：希拉里重新建立和激活了美国在小布什时期已经疏远了的与合作伙伴的关系。 
《纽约时报》：强势，但并不总是机敏。
第44任美国总统贝拉克·侯赛因·奥巴马：“当我角逐总统，她是我的有力支持者，后来又成为一名出色的国务卿。希拉里会是一位好总统。”  “没有任何一个人，不管是我还是比尔，能够比希拉里更有资格成为美国的总统。” 
时政记者马克·兰德勒：“一位坚韧不拔的外交官和一个自诩为团队合作者，但有时会遭受挫折的人，一个在政治外交上为美国得分，但也得罪了不少外国政要的人。不过对于她对工作的投入，有着再清楚不过的数字作证明：任职国务卿期间，她用401天走访了112个国家，行程近100万英里。” 
2016年美国总统选举结束后，美国《名利场》杂志盛赞希拉里是“从总统候选人到游荡在外的民间英雄”；《纽约时报》称她是“拥有熟悉面孔的全新的民间英雄”，“在那场旷日持久的战争中被击倒后，她以令人意想不到的速度重归平静”；《时代》周刊将希拉里列为2016年度第二人物，评语为“普选的赢家，留下复杂的遗产”，同时将希拉里比作“美国的摩西”。  ",,,,,,
王露露,王露露,,,,中国,,,,,,新华社对外部法文编辑室副主任,,,,,,中国新闻学院,,,,,,,,,,,,,
伊万卡·特朗普,伊万卡·特朗普,Ivanka Trump,,女,美国,,,纽约,1981年10月30日,模特,,,,,,,宾夕法尼亚大学沃顿商学院,,犹太教[5] ,Trump Organization副总裁白宫非正式顾问(无薪资)曾连续二年成为美国《福布斯》杂志的全球十大未婚女富豪排行榜首,,,,,,,,,,
梅拉尼娅·特朗普,梅拉尼娅 特朗普,Melania Trump,,,美国,,,斯洛文尼亚,1970年4月26日,模特[1] ,,,,,,,斯洛文尼亚卢布尔雅那大学,,基督教,,,,,,,,,,,
梅拉尼娅,梅拉尼娅 特朗普,Melania Trump,,,美国,,,斯洛文尼亚,1970年4月26日,模特[1] ,,,,,,,斯洛文尼亚卢布尔雅那大学,,基督教,,,,,,,,,,,
沃尔科夫,沃尔科夫,,,,俄罗斯,,,俄罗斯莫斯科,1981/3/22,,,,,,,,,,,,,,,,,,,,,
米歇尔·奥巴马,米歇尔·拉沃恩·奥巴马,Michelle LaVaughn Obama,,,美国,,,芝加哥南部,1964年1月17日,律师,,,,,,,普林斯顿大学及哈佛大学法学院,,,是第一位非洲裔美国总统夫人2013年全球年度最具权势女性排行第四,成为,,,"政客一般个性刚强，但米歇尔在助选期间突显了自信及亮丽的形象，令人想起前总统肯尼迪夫人。（名人周刊评）
米歇尔每一次公众场合露面都成为了众人的期待。第一夫人所到之处，引得当地女性纷纷效仿，就连她所垂青的品牌的股价和知名度也大幅提升。（南都周刊评） 
总统伴侣、助选能手、妻子模范、时尚榜样，美国第一夫人在总统身后打理家事，传达美国家庭生活的传统价值，更是总统的政治理念的代言人。平民出身的米歇尔·奥巴马从哈佛法学院博士生、到美国著名律师、到美国第一夫人的故事激励着全球女性。（网易新闻评）",,,,,,
丹尼尔森,丹尼尔森,,,男,巴西,,,,1981年7月22日,,,,,,,,,,,,,,,,,,,,,
泽曼,米洛什·泽曼,Milos Zeman,,,捷克共和国,捷克族,,科林市,1944年9月28日,"政治家,经济学家",,,,,,,布拉格经济大学,,,1996年至1998年任捷克众议院议长1998年至2002年任捷克总理2013年起担任捷克总统,,,,,,,"泽曼的当选对中国来说应该是一件好事，因为与他的竞争对手相比，泽曼对中国的态度明显友好得多。
卡雷尔-施瓦岑贝格支持达赖喇嘛，而泽曼几天前在与施瓦岑贝格的电视辩论中表示，如果他胜选，作为国家元首，他不会同达赖喇嘛见面。
泽曼担任总理期间曾于1999年12月16日到18日访问中国，会见了当时的中国国家主席江泽民、全国人大常委会委员长李鹏和国务院总理朱镕基。
“推进对华关系是捷克历届政府的政治责任，捷克尊重并坚持一个中国的政策，不干预中国内政，也不做有损中国利益的事。”当时《人民日报》如此报道泽曼在与朱镕基会面时的谈话内容。
2015年9月，泽曼应邀来华出席了纪念中国人民抗日战争暨世界反法西斯战争胜利70周年阅兵活动。 
泽曼在多个场合表示，捷中关系近年来发展迅速，两国关系正处于历史最好时期。
北京时间2016年3月29日，刚刚抵达捷克进行国事访问的习近平主席应邀前来做客，泽曼总统私人官邸迎来首位外国领导人。庄园草坪上，两国元首走到一棵银杏树苗前，共同培土、浇水。习近平说，中捷两国共同浇灌友谊之树。 
2017年5月12日，中国国家主席习近平在人民大会堂会见来华出席“一带一路”国际合作高峰论坛的捷克总统泽曼；16日泽曼总统参观了侵华日军南京大屠杀遇难同胞纪念馆并敬献花圈，成为参观该馆的首位在职外国总统 。
2018年11月5日至10日，应中国国家主席习近平邀请，米洛什·泽曼出席首届中国国际进口博览会。  ",,,
维斯特奇尔,米洛什·维斯特奇尔[1] ,Miloš Vystrčil[1] ,,,捷克,,,,,,捷克议会参议院主席,,公民民主党[2] ,,,,马萨里克大学,,,,,,,,,,,,,
凯莉·克拉夫特,凯莉·奈特·克拉夫特,Kelly Knight Craft,,,美国,,,,1962年,政治家,,,,,,,,,,,,,,,,,,,,
杨文静,杨文静,,,,中国,汉族,,中国,,礼仪小姐、模特,,,,,,,,,,2003年获“2003诗婷形象代言人全国选拔赛”天津赛区亚军。,,,,,,,,,,
赵立坚,赵立坚,,,,中国,,,,1972年11月,,,,,,,,,,,,,,,,,,,,,
亚历山大·卢卡申科,亚历山大·格里戈里耶维奇·卢卡申科,Alexander Grigoryevich Lukashenko,,,白俄罗斯,白俄罗斯人,,莫吉廖夫什克洛夫区,1954年8月30日,政治家,,,,,,,莫吉廖夫师范学院,,基督教,确立了以总统为核心的权力体系提出“白俄罗斯发展模式”,,,,"卢卡申科学识渊博，思想敏锐，做事果敢。（华商网评）
卢卡申科是一个个性非常突出的政治家。他说话做事喜欢直来直去，讨厌外交辞令，经常语出惊人，做出的事也时常出人意料。（国际在线评）
凭着亲民廉洁的个人形象和较为耀眼的执政成果，他在白俄罗斯拥有很高的民众支持率，在支持者那里获得了一个亲密的称呼“老爹”。（新华网评） ",,,,,,
